email,last_name,first_name,cf_id,company_name,description,end_date,left_of_goal
sabbott@live.com,Abbott,Shelton,1911,Willis and Sons,Fundamental incremental database,2021-06-16,72323.00
mabeln@yandex.com,Abeln,Melina,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00
mabeln@live.com,Abeln,Monika,968,Warren Ltd,Distributed system-worthy application,2021-09-21,153288.00
jabeln@gmail.com,Abeln,Justin,563,Rush-Bowers,Persevering analyzing extranet,2021-12-26,71872.00
vabeln@protonmail.com,Abeln,Val,1572,Mcmillan Group,Advanced cohesive Graphic Interface,2021-12-29,98164.00
vabraham@protonmail.com,Abraham,Vella,563,Rush-Bowers,Persevering analyzing extranet,2021-12-26,71872.00
iabraham@yahoo.com,Abraham,Ippolito,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00
aabraham@yandex.com,Abraham,Alwina,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00
oabraham@yandex.com,Abraham,Ottavia,563,Rush-Bowers,Persevering analyzing extranet,2021-12-26,71872.00
sabraham@outlook.com,Abraham,Santiago,2284,Foley-Cox,Progressive zero administration leverage,2022-01-13,151747.00
pabraham@live.com,Abraham,Paco,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00
mabraham@gmail.com,Abraham,Mila,1572,Mcmillan Group,Advanced cohesive Graphic Interface,2021-12-29,98164.00
cabraham@protonmail.com,Abraham,Crissy,238,Parker PLC,Reduced interactive matrix,2021-07-21,41198.00
aabraham@outlook.com,Abraham,Affonso,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00
kabraham@yandex.com,Abraham,Kaina,1114,Nunez-Richards,Exclusive attitude-oriented intranet,2021-03-10,88154.00
sabraham@live.com,Abraham,Susi,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00
oabraham@gmail.com,Abraham,Ornella,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00
rabt@outlook.com,Abt,Randell,1572,Mcmillan Group,Advanced cohesive Graphic Interface,2021-12-29,98164.00
babt@protonmail.com,Abt,Bret,1572,Mcmillan Group,Advanced cohesive Graphic Interface,2021-12-29,98164.00
kabt@live.com,Abt,Klothilda,968,Warren Ltd,Distributed system-worthy application,2021-09-21,153288.00
tabt@yahoo.com,Abt,Teresia,563,Rush-Bowers,Persevering analyzing extranet,2021-12-26,71872.00
habt@live.com,Abt,Hedwig,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00
sabt@gmail.com,Abt,Sandie,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00
habt@yandex.com,Abt,Harmony,1114,Nunez-Richards,Exclusive attitude-oriented intranet,2021-03-10,88154.00
eabt@yahoo.com,Abt,Edgar,1114,Nunez-Richards,Exclusive attitude-oriented intranet,2021-03-10,88154.00
mabt@live.com,Abt,Melvin,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00
labt@yandex.com,Abt,Leonida,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00
tabt@live.com,Abt,Tawny,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00
gaccordino@live.com,Accordino,Garth,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00
iacevedo@live.com,Acevedo,Ian,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00
racevedo@live.com,Acevedo,Ricciardo,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00
wacevedo@yandex.com,Acevedo,Warner,1114,Nunez-Richards,Exclusive attitude-oriented intranet,2021-03-10,88154.00
iacevedo@protonmail.com,Acevedo,Isaure,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00
aacevedo@gmail.com,Acevedo,Alphonse,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00
sachille@gmail.com,Achille,Sigrid,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00
wachilles@yahoo.com,Achilles,Wilfreda,968,Warren Ltd,Distributed system-worthy application,2021-09-21,153288.00
oachilles@yahoo.com,Achilles,Otha,65,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,8362.00
machilles@live.com,Achilles,Margarete,1572,Mcmillan Group,Advanced cohesive Graphic Interface,2021-12-29,98164.00
aachilles@outlook.com,Achilles,Ashanti,968,Warren Ltd,Distributed system-worthy application,2021-09-21,153288.00
